date,event,url,doc,url_doc
06-11,International Day for Preventing the Exploitation of the Environment in War and Armed Conflict,https://www.un.org/en/observances/environment-in-war-protection-day,A/RES/56/4,https://undocs.org/en/A/RES/56/4
09-11,International Week of Science and Peace,https://www.un.org/en/observances/world-science-day/week,A/RES/43/61,http://undocs.org/en/A/RES/43/61
10-11,World Science Day for Peace and Development,https://www.un.org/en/observances/world-science-day,UNESCO 31 C/Resolution 20,https://unesdoc.unesco.org/ark:/48223/pf0000142825
13-11,"World Antibiotic Awareness Week, 13-19 November [WHO]",http://www.who.int/campaigns/world-antibiotic-awareness-week/en/,,
14-11,World Diabetes Day,https://www.un.org/en/observances/diabetes-day,A/RES/61/225,http://undocs.org/en/A/RES/61/225
16-11,International Day for Tolerance,https://www.un.org/en/observances/tolerance-day,UNESCO 28 C/Resolution 5.61,https://unesdoc.unesco.org/ark:/48223/pf0000101803_eng#page=75
18-11,World Philosophy Day,https://www.un.org/en/observances/philosophy-day/,UNESCO 33 C/Resolution 37,https://unesdoc.unesco.org/ark:/48223/pf0000142825.page=86
19-11,World Toilet Day,https://www.un.org/en/observances/toilet-day,A/RES/67/291,http://undocs.org/en/A/RES/67/291
20-11,Africa Industrialization Day,https://www.un.org/en/observances/africa-industrialization-day,A/RES/44/237,http://undocs.org/en/A/RES/44/237
20-11,World Children's Day,https://www.un.org/en/observances/world-childrens-day,A/RES/836(IX),http://undocs.org/en/A/RES/836(IX)
21-11,World Day of Remembrance for Road Traffic Victims,https://www.un.org/en/observances/road-traffic-victims-day,A/RES/60/5,http://undocs.org/en/A/RES/60/5
21-11,World Television Day,https://www.un.org/en/observances/world-television-day,A/RES/51/205,http://undocs.org/en/A/RES/51/205
25-11,International Day for the Elimination of Violence against Women,https://www.un.org/en/observances/ending-violence-against-women-day,A/RES/54/134,http://undocs.org/en/A/RES/32/40
29-11,International Day of Solidarity with the Palestinian People,https://www.un.org/en/observances/international-day-of-solidarity-with-the-palestinian-people,A/RES/32/40B,http://undocs.org/en/A/RES/32/40
30-11,Day of Remembrance for all Victims of Chemical Warfare,https://www.un.org/en/observances/chemical-warfare-victims-day,OPCW C-20/DEC.10,
01-12,World AIDS Day,https://www.un.org/en/observances/world-aids-day,,
02-12,International Day for the Abolition of Slavery,https://www.un.org/en/observances/slavery-abolition-day,A/RES/317(IV),https://undocs.org/en/A/RES/317(IV)
03-12,International Day of Persons with Disabilities,https://www.un.org/en/observances/day-of-persons-with-disabilities,A/RES/47/3,https://undocs.org/en/A/RES/47/3
04-12,International Day of Banks,https://www.un.org/en/observances/international-day-of-banks,A/RES/74/245,https://undocs.org/en/A/RES/74/245
05-12,International Volunteer Day for Economic and Social Development,https://www.un.org/en/observances/volunteer-day,A/RES/40/212,https://undocs.org/en/A/RES/40/212
05-12,World Soil Day,https://www.un.org/en/observances/world-soil-day,A/RES/68/232,https://undocs.org/en/A/RES/68/232
07-12,International Civil Aviation Day,https://www.un.org/en/observances/civil-aviation-day,A/RES/51/33,https://undocs.org/en/A/RES/51/33
09-12,International Day of Commemoration and Dignity of the Victims of the Crime of Genocide and of the Prevention of this Crime,https://www.un.org/en/observances/genocide-prevention-day,A/RES/69/323,https://undocs.org/en/A/RES/423%20(V)
09-12,International Anti-Corruption Day,https://www.un.org/en/observances/anti-corruption-day,A/RES/58/4,https://undocs.org/en/A/RES/58/4
10-12,Human Rights Day,https://www.un.org/en/observances/human-rights-day,A/RES/423 (V),https://undocs.org/en/A/RES/423%20(V)
11-12,International Mountain Day,https://www.un.org/en/observances/mountain-day,A/RES/57/245,https://undocs.org/en/A/RES/57/245
12-12,International Day of Neutrality,https://www.un.org/en/observances/neutrality-day,A/RES/71/275,https://undocs.org/en/A/RES/71/275
12-12,International Universal Health Coverage Day,https://www.un.org/en/observances/universal-health-coverage-day,A/RES/72/138,https://undocs.org/en/A/RES/72/138
18-12,International Migrants Day,https://www.un.org/en/observances/migrants-day,A/RES/55/93,https://undocs.org/en/A/RES/55/93
18-12,Arabic Language Day,http://www.un.org/ar/events/arabiclanguageday/index.shtml,,
20-12,International Human Solidarity Day,https://www.un.org/en/observances/human-solidarity-day,A/RES/60/209,https://undocs.org/en/A/RES/60/209
27-12,International Day of Epidemic Preparedness,https://www.un.org/en/observances/epidemic-preparedness-day,A/RES/75/27,https://undocs.org/en/A/RES/75/27
